ID,Labels
117141,1
201088,1
218334,1
198533,1
91795,1
255029,3
120790,0
261519,3
194282,0
132387,0
90161,1
86130,1
253177,0
92915,1
115693,0
175826,1
247954,0
271862,0
74263,0
257806,1
159721,1
123540,3
246120,3
20084,0
73816,1
104561,1
135448,3
204477,3
227980,0
67288,3
88885,1
50830,1
212447,3
266070,3
269747,3
266854,1
18504,2
209258,1
111213,1
25953,0
151299,0
171477,2
79318,0
120098,1
130732,0
36438,0
81879,1
75871,2
100349,1
92569,1
127919,0
208788,2
106900,3
15082,1
127823,3
197909,3
194729,1
17083,2
25231,3
69894,1
36879,1
142831,1
167478,1
86762,1
58011,1
201233,3
90675,1
180749,3
186174,0
104086,0
199513,1
174578,0
230984,1
191968,3
220699,3
5122,3
77808,1
69035,1
44314,1
204168,0
144683,3
210306,0
276167,0
106363,3
111664,1
286,2
220958,0
246993,1
10667,0
243659,0
171595,2
97182,1
70093,1
20485,3
84670,2
147601,3
229138,1
73838,1
189101,1
183451,0
134739,0
209009,0
221280,0
89235,1
42209,3
184594,3
119232,0
110396,1
221349,1
227831,0
225398,1
109469,3
255359,1
68361,0
21295,2
98280,1
217840,1
142818,1
142230,1
159655,1
234772,3
162034,1
266548,2
133933,0
166054,1
267320,1
1166,1
135487,3
183198,0
165033,1
259352,1
252018,1
78981,1
79391,0
96615,1
129487,0
259353,1
158224,1
64665,1
178945,0
2341,0
53914,0
61903,1
231684,0
224587,2
26238,2
1111,1
101451,2
106609,3
273407,0
37800,3
182944,0
57780,1
88159,1
259221,2
203558,3
6188,1
99035,3
52223,1
258036,1
18483,2
128859,0
266337,2
248686,0
135358,3
81981,1
189224,2
18382,0
133216,0
183623,0
201914,3
105245,1
209863,3
187420,1
185524,1
44343,1
206270,1
222091,0
147023,1
1943,1
84091,1
237789,3
27717,3
189111,0
168101,0
167943,1
133973,0
63950,2
77502,3
52530,1
93412,0
234333,0
238589,1
251017,2
17988,3
193388,0
106902,0
160642,3
108911,0
271065,3
194205,3
187762,2
40215,3
46712,0
13199,2
203777,3
62493,2
195564,0
129929,3
88514,1
185897,1
16960,2
106292,3
155681,1
130583,1
183897,3
155970,0
12169,2
17642,1
259037,0
51355,0
35087,0
104117,2
15820,0
236338,1
68836,1
218618,1
175823,2
157074,1
17273,2
270405,1
84554,1
249569,0
83494,1
189863,0
177899,1
242697,1
174282,1
276181,0
94992,0
53278,2
80369,1
212715,1
155522,1
116650,0
211783,2
216630,1
227801,1
241397,0
95425,3
45861,1
202180,1
189904,1
160832,0
57310,2
82972,1
114907,2
186554,1
37626,0
53523,1
26313,2
234133,0
212753,1
50931,0
178064,1
147439,1
2376,0
138828,1
182432,1
149996,0
164678,1
234098,2
206985,1
133401,1
42950,1
159611,1
142759,1
112995,0
70392,1
40654,3
97986,3
125617,0
266103,1
218196,2
58363,2
77090,2
183634,1
122607,1
158896,1
